GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IntregationTest,test,Employee,9,23,0,0,3,8,3,5,3,5
IntregationTest,test,HelloWorld,8,20,0,0,3,7,1,3,1,3
